exp_category,exp_path,model_name,constraint_local,constraint_global,learning_rate,batch_size,epochs,warmup_epochs,lambda_global_init,lambda_local_init,lambda_step,lambda_strategy,constraint_threshold,convergence_window,convergence_required,hidden_dims,dropout,status,used_cached_model,training_time,accuracy,precision_macro,recall_macro,f1_macro,precision_dropout,recall_dropout,f1_dropout,precision_enrolled,recall_enrolled,f1_enrolled,precision_graduate,recall_graduate,f1_graduate
heuristic,results/heuristic/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_balanced,BasicNN,0.5,0.3,5e-05,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0011518001556396484,0.6176,0.7259,0.4877,0.49,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_combined,BasicNN,0.5,0.3,5e-05,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0,0.6176,0.7259,0.4877,0.49,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_linear,BasicNN,0.5,0.3,5e-05,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0010006427764892578,0.6176,0.7259,0.4877,0.49,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_transfer,BasicNN,0.5,0.3,5e-05,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0,0.6176,0.7259,0.4877,0.49,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_balanced,BasicNN,0.5,0.3,0.0001,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0009987354278564453,0.6199,0.7268,0.4892,0.4912,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_combined,BasicNN,0.5,0.3,0.0001,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0009982585906982422,0.6199,0.7268,0.4892,0.4912,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_linear,BasicNN,0.5,0.3,0.0001,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0010063648223876953,0.6199,0.7268,0.4892,0.4912,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_transfer,BasicNN,0.5,0.3,0.0001,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0009999275207519531,0.6199,0.7268,0.4892,0.4912,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0005_lambda_balanced,BasicNN,0.5,0.3,0.0005,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0,0.6267,0.7295,0.4937,0.4945,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0005_lambda_combined,BasicNN,0.5,0.3,0.0005,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0,0.6267,0.7295,0.4937,0.4945,,,,,,,,,
